,Unnamed: 0,Latitude,Longitude,Main Address,City,State,Zip Code,County,FIPS,_merge
31,39,35.925341,-86.874179,106 Hwy 96 W,Franklin,TN,37064,Williamson County,47187,both
32,40,35.915952,-86.829192,1299 Hwy 96 E,Franklin,TN,37064,Williamson County,47187,both
33,44,35.860726,-86.840261,1003 Village Plains Blvd,Franklin,TN,37064,Williamson County,47187,both
34,45,36.385619,-86.45516,402 W Main St,Gallatin,TN,37066,Sumner County,47165,both
35,46,36.359509,-86.498114,990 Greensboro Dr,Gallatin,TN,37066,Sumner County,47165,both
36,48,36.045543,-86.953624,8050 Highway 100,Nashville,TN,37221,Davidson County,47037,both
37,51,36.325693,-86.701685,304 Long Holllow Pike,Goodlettsville,TN,37072,Davidson County,47037,both
38,52,36.300169,-86.700042,906 Two Mile Pky,Goodlettsville,TN,37072,Davidson County,47037,both
39,53,36.321536,-86.623049,305 New Shackle Island Rd,Hendersonville,TN,37075,Sumner County,47165,both
40,54,36.30261,-86.627775,393 W Main St,Hendersonville,TN,37075,Sumner County,47165,both
41,55,36.257828,-86.657509,1252 Robinson Rd,Old Hickory,TN,37138,Davidson County,47037,both
42,56,36.251261,-86.718885,1012 Gallatin Rd S,Madison,TN,37115,Davidson County,47037,both
43,57,36.399679,-86.162067,103 Mcmurry Blvd,Hartsville,TN,37074,Trousdale County,47169,both
44,60,36.326571,-86.594261,258 Indian Lake Blvd,Hendersonville,TN,37075,Sumner County,47165,both
45,62,36.215497,-86.593396,4734 Lebanon Pike,Hermitage,TN,37076,Davidson County,47037,both
46,63,36.169258,-86.599811,5800 Old Hickory Blvd,Hermitage,TN,37076,Davidson County,47037,both
47,64,36.161292,-86.514653,625 S Mount Juliet Road,Mount Juliet,TN,37122,Wilson County,47189,both
48,65,36.173358,-86.513918,126 N Mount Juliet Rd,Mt Juliet,TN,37122,Wilson County,47189,both
49,66,36.145563,-86.666165,545 Donelson Pike,Nashville,TN,37214,Davidson County,47037,both
50,67,36.192208,-86.624955,3470 Lebanon Rd,Hermitage,TN,37076,Davidson County,47037,both
51,70,35.883884,-87.798583,15400 Hwy 13 S,Hurricane Mills,TN,37078,Humphreys County,47085,both
52,71,36.321687,-86.868133,6451 Eatons Creek Rd,Joelton,TN,37080,Davidson County,47037,both
53,72,36.5204,-86.035614,414 Hwy 52 Byp W,Lafayette,TN,37083,Macon County,47111,both
54,75,35.992976,-86.527231,345 N Lowry St,Smyrna,TN,37167,Rutherford County,47149,both
55,76,35.933424,-86.532749,1855 Almaville Rd,Smyrna,TN,37167,Rutherford County,47149,both
56,77,35.9748,-86.491961,775 Nissan Dr,Smyrna,TN,37167,Rutherford County,47149,both
57,78,36.216338,-86.331644,1420 W Main St,Lebanon,TN,37087,Wilson County,47189,both
58,79,36.187757,-86.295938,705 S Cumberland St,Lebanon,TN,37087,Wilson County,47189,both
59,80,36.188583,-86.41028,320 Hwy 109 N,Lebanon,TN,37090,Wilson County,47189,both
60,83,35.70247,-85.780284,1334 New Smithville Hwy,Mcminnville,TN,37110,Warren County,47177,both
61,86,36.219859,-86.694515,201 Rudy Cir,Nashville,TN,37214,Davidson County,47037,both
62,88,36.235466,-86.758737,3300 Dickerson Rd,Nashville,TN,37207,Davidson County,47037,both
63,89,36.200644,-86.739419,2806 Gallatin Pike,Nashville,TN,37216,Davidson County,47037,both
64,93,36.170671,-86.680055,154 Mcgavock Pike,Nashville,TN,37214,Davidson County,47037,both
65,95,36.575838,-86.514752,401 S Broadway,Portland,TN,37148,Sumner County,47165,both
66,97,36.231392,-86.514369,11279 Lebanon Rd,Mt Juliet,TN,37122,Wilson County,47189,both
67,101,35.811719,-86.368039,1716 S Rutherford Blvd,Murfreesboro,TN,37130,Rutherford County,47149,both
68,103,35.80686,-86.396984,2485 S Church St,Murfreesboro,TN,37128,Rutherford County,47149,both
69,104,35.841513,-86.391134,106 Se Broad St,Murfreesboro,TN,37130,Rutherford County,47149,both
70,105,35.811231,-86.458605,2674 New Salem Hwy,Murfreesboro,TN,37128,Rutherford County,47149,both
